,ggoid_hex,ggoid_dec,tilenum,type,img,id,alpha_j2000,delta_j2000,E_bv,glon,glat,primary,fov_radius,nuv_flux,nuv_fluxerr,nuv_mag,nuv_magerr,fuv_flux,fuv_fluxerr,fuv_mag,fuv_magerr,fuv_ra_adj,fuv_dec_adj,fuv_ncat_mag,nuv_fcat_mag,fuv_ncat_magerr,nuv_fcat_magerr,cn_radius,cn_pa,cn_mag_nuv,cn_mag_fuv,nuv_int,fuv_int,nuv_poserr,fuv_poserr,ib_poserr
7457,2a79820133d00cbb,3060620363450813627 ,21452,0,153,3259,201.137689834,27.8582496676,0.0144680710509,40.5125617981,82.6218032837,0,0.370241940022,3.65007829666,1.40592432022,22.4942436218,0.418301671743,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,24.163028717,-999.0,1.99983859062,-999.0,25.6019191742,211.108291626,22.5194797516,-999.0,0.0293847564608,0.0,1.05614221096,-999.0,-999.0
7458,2a79820133d00cbc,3060620363450813628 ,21452,0,153,3260,201.543185934,27.858230872,0.0118472026661,40.3424606323,82.263999939,0,0.5679666996,3.65704894066,1.40472137928,22.4921722412,0.417147129774,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,67.750831604,272.246520996,22.0614318848,-999.0,0.0276816617697,0.0,1.05408585072,-999.0,-999.0
7459,2a79820133d00cbd,3060620363450813629 ,21452,0,153,3261,201.590826181,27.8601082689,0.0127751398832,40.3379364014,82.2218399048,0,0.602220833302,4.42765903473,2.78527808189,22.2845630646,0.683162808418,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,11.6798553467,326.267089844,21.9478816986,-999.0,0.0,0.0,1.2450633049,-999.0,-999.0
7460,2a79820133d00cbe,3060620363450813630 ,21452,0,153,3262,201.564459864,27.8588982522,0.0123338066041,40.3391532898,82.2451858521,0,0.583027899265,5.43784475327,1.67881178856,22.0614318848,0.335277974606,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,67.750831604,92.2465057373,22.4921722412,-999.0,0.0138678224757,0.0,1.2679681778,-999.0,-999.0
7461,2a79820133d00cbf,3060620363450813631 ,21452,0,153,3263,200.979605778,27.8609952552,0.0181321129203,40.6076278687,82.7610626221,0,0.369618207216,5.36722564697,2.22120118141,22.0756244659,0.44943600893,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,25.6571083069,-999.0,11.748509407,-999.0,29.5965232849,124.172065735,22.5084629059,-999.0,0.0,0.0,1.02287888527,-999.0,-999.0
7462,2a79820133f00cc0,3060620363452910784 ,21452,0,153,3264,201.483583855,27.8609188074,0.0121395057067,40.3859672546,82.3164367676,0,0.530186474323,4.64145898819,1.68019723892,22.2333621979,0.393129438162,16.3848323822,4.62911748886,20.863899231,0.306821674109,201.483621732,27.860778884,21.1144676208,21.9641647339,0.378803730011,0.350822895765,40.4623794556,124.113822937,20.1917037964,20.6601772308,0.0278684962541,0.0,0.91662055254,1.27588737011,1.30670046806
7463,2a79820133d00cc1,3060620363450813633 ,21452,0,153,3265,200.998594644,27.8619958189,0.0160043071955,40.6064491272,82.7442474365,0,0.368200540543,9.62099456787,2.63768744469,21.4419498444,0.297737240791,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.2792358398,-999.0,0.833641946316,-999.0,24.5569725037,291.945373535,22.72905159,-999.0,0.014736357145,0.0,0.971986591816,-999.0,-999.0
7464,2a79820133d00cc2,3060620363450813634 ,21452,0,153,3266,201.59598779,27.8618487881,0.0127751398832,40.3487854004,82.2171859741,0,0.606913864613,6.08908939362,3.21746063232,21.9386177063,0.573839843273,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,10.4759969711,71.1708221436,21.9478816986,-999.0,0.0424825772643,0.0,1.09937250614,-999.0,-999.0
7465,2a79820133d00cc3,3060620363450813635 ,21452,0,153,3267,201.20311861,27.8653849198,0.0132158100605,40.538433075,82.5636138916,0,0.393416494131,5.45616436005,1.88123691082,22.0577812195,0.374443143606,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,35.8128509521,335.410949707,22.1961860657,-999.0,0.0145124718547,0.0,1.43685078621,-999.0,-999.0
7466,2a79820133d00cc4,3060620363450813636 ,21452,0,153,3268,200.93243872,27.8635641475,0.0193730928004,40.6509094238,82.8024902344,0,0.381256192923,6.37864685059,1.98172461987,21.8881778717,0.337399631739,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,26.7680568695,-999.0,23.6744728088,-999.0,31.5323429108,4.32313871384,22.5773429871,-999.0,0.0147533426061,0.0,1.03336441517,-999.0,-999.0
